Available,Duration,Total_Fare,no_of_days_to_flight,Airways_Air India,Airways_AirAsia,Airways_Go Air,Airways_IndiGo,Airways_Jet Airways,Airways_Spicejet,Airways_Vistara,Dept_Time_BSR,Dept_Time_MDSS,Dept_Time_SRMD,Dept_Time_SSMN,Arr_Time_BSR,Arr_Time_MDSS,Arr_Time_SRMD,Arr_Time_SSMN,Hopping_False,Hopping_True
2,535,5931,56,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3,690,6540,35,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
1,130,4490,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
30,265,3979,42,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3,1180,5821,43,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3,1045,11149,8,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
9,130,3155,49,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
9,535,4545,38,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
7,800,10540,20,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
26,145,3498,40,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
5,130,4490,30,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
7,950,6792,44,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
10,255,3979,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1,395,10540,12,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,765,11149,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
9,890,5782,46,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
53,180,4490,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1,370,15045,7,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
7,580,10005,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
30,180,4105,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
7,415,7012,38,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
2,1270,4566,38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
7,360,15570,27,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
7,400,8199,31,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
13,385,3931,54,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1,150,2443,42,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
9,125,3701,12,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
27,145,3498,33,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3,1360,7012,44,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
9,135,2609,47,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
7,325,16594,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
15,130,3347,49,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
17,265,3102,47,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
1,1455,12861,9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
7,1420,8199,31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
7,750,8199,37,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1,115,6130,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
7,765,8199,37,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
9,130,3701,18,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
7,340,10593,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
9,135,6283,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
7,970,6792,56,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
9,325,11842,44,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
7,370,9028,21,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,640,5227,38,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
8,135,4280,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1,485,11149,13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
